category,series,style,material,color,attributes,location,season,img
Lamp,Floor Lamp,Wabi-Sabi,Acrylic,Burnt Orange,Matte finish,suburban,summer,0_lamp_acrylic_burnt_orange_suburban_summer.png
Sofa,Togo Sofa,Scandinavian,Bouclé Fabric,Terracotta,Textured,suburban,summer,1_sofa_boucl_fabric_terracotta_suburban_summer.png
Lamp,Arco Floor Lamp,Japandi,Smoked Glass,Navy Blue,Playful,suburban,spring,2_lamp_smoked_glass_navy_blue_suburban_spring.png
Storage,TV Stand,Wabi-Sabi,Matte Black Steel,Walnut Brown,Airy,rural,summer,3_storage_matte_black_steel_walnut_brown_rural_summer.png
Storage,Bookshelf,Industrial,Rattan,Off-white,High-gloss,suburban,spring,4_storage_rattan_off_white_suburban_spring.png
Storage,Cabinet,Industrial,Matte Black Steel,Navy Blue,Textured,suburban,autumn,5_storage_matte_black_steel_navy_blue_suburban_autumn.png
Sofa,Loveseat,Wabi-Sabi,Suede,Black,Curvy,rural,summer,6_sofa_suede_black_rural_summer.png
Chair,Eames Lounge Chair,Traditional,Velvet,Light Gray,Modular,rural,spring,7_chair_velvet_light_gray_rural_spring.png
Lamp,Nesso Table Lamp,Scandinavian,Linen shade,Emerald Green,Soft,suburban,autumn,8_lamp_linen_shade_emerald_green_suburban_autumn.png
Table,Noguchi Coffee Table,Mid-Century Modern,Light Oak,Emerald Green,Playful,suburban,winter,9_table_light_oak_emerald_green_suburban_winter.png
Storage,Sideboard,Mid-Century Modern,Teak,Warm Taupe,Soft,suburban,spring,10_storage_teak_warm_taupe_suburban_spring.png
Sofa,Loveseat,Mid-Century Modern,Bouclé Fabric,Navy Blue,Organic shape,urban,spring,11_sofa_boucl_fabric_navy_blue_urban_spring.png
Table,Dining Table,Japandi,Teak,Warm Taupe,High-gloss,suburban,winter,12_table_teak_warm_taupe_suburban_winter.png
Sofa,Sectional Sofa,Wabi-Sabi,Black Leather,White,Textured,rural,spring,13_sofa_black_leather_white_rural_spring.png
Lamp,Desk Lamp,Japandi,Matte Black Steel,Natural Wood,Plush,rural,summer,14_lamp_matte_black_steel_natural_wood_rural_summer.png
Chair,Panton Chair,Bohemian (Bojo),Light Oak,Burnt Orange,Statement piece,suburban,summer,15_chair_light_oak_burnt_orange_suburban_summer.png
Table,Parsons Table,Scandinavian,Bent Plywood,Charcoal Gray,Modular,suburban,winter,16_table_bent_plywood_charcoal_gray_suburban_winter.png
Sofa,Noguchi Freeform Sofa,Rustic,Linen,Deep Teal,Playful,suburban,summer,17_sofa_linen_deep_teal_suburban_summer.png
Sofa,LC2 Sofa,Scandinavian,Linen,Deep Teal,Geometric,suburban,winter,18_sofa_linen_deep_teal_suburban_winter.png
Sofa,Chesterfield Sofa,Retro,Suede,Terracotta,Plush,urban,winter,19_sofa_suede_terracotta_urban_winter.png
Storage,Cabinet,Wabi-Sabi,Matte Black Steel,Navy Blue,Modular,urban,autumn,20_storage_matte_black_steel_navy_blue_urban_autumn.png
Table,Noguchi Coffee Table,Industrial,Smoked Glass,Mustard Yellow,High-gloss,suburban,winter,21_table_smoked_glass_mustard_yellow_suburban_winter.png
Storage,TV Stand,Traditional,Matte Black Steel,Black,Vintage look,rural,winter,22_storage_matte_black_steel_black_rural_winter.png
Table,Parsons Table,Retro,Terrazzo,Mustard Yellow,Playful,rural,summer,23_table_terrazzo_mustard_yellow_rural_summer.png
Table,Dining Table,Rustic,Smoked Glass,Walnut Brown,Airy,rural,winter,24_table_smoked_glass_walnut_brown_rural_winter.png
Storage,TV Stand,Rustic,Matte Black Steel,Burnt Orange,Plush,rural,winter,25_storage_matte_black_steel_burnt_orange_rural_winter.png
Storage,Cabinet,Industrial,Bent Plywood,Walnut Brown,High-gloss,suburban,winter,26_storage_bent_plywood_walnut_brown_suburban_winter.png
Table,Dining Table,Scandinavian,Matte Black Steel,Black,Airy,urban,summer,27_table_matte_black_steel_black_urban_summer.png
Table,Parsons Table,Wabi-Sabi,Smoked Glass,Beige,Plush,suburban,winter,28_table_smoked_glass_beige_suburban_winter.png
Table,Parsons Table,Japandi,Light Oak,Light Gray,Textured,suburban,autumn,29_table_light_oak_light_gray_suburban_autumn.png
Sofa,Togo Sofa,Minimalist,Brown Leather,Deep Teal,Textured,urban,autumn,30_sofa_brown_leather_deep_teal_urban_autumn.png
Chair,Wishbone Chair (Y-Chair),Scandinavian,Light Oak,Light Gray,Elegant,suburban,spring,31_chair_light_oak_light_gray_suburban_spring.png
Storage,Bookshelf,Farmhouse,Bent Plywood,Off-white,Elegant,rural,winter,32_storage_bent_plywood_off_white_rural_winter.png
Storage,Sideboard,Coastal,Bent Plywood,Terracotta,Statement piece,urban,summer,33_storage_bent_plywood_terracotta_urban_summer.png
Storage,Dresser,Retro,Matte Black Steel,Navy Blue,Soft,urban,spring,34_storage_matte_black_steel_navy_blue_urban_spring.png
Storage,Bookshelf,Bauhaus,Bent Plywood,Olive Green,Soft,urban,winter,35_storage_bent_plywood_olive_green_urban_winter.png
Lamp,Floor Lamp,Bauhaus,Copper,Beige,Airy,suburban,winter,36_lamp_copper_beige_suburban_winter.png
Table,Coffee Table,Farmhouse,Carrara Marble,Charcoal Gray,Matte finish,suburban,autumn,37_table_carrara_marble_charcoal_gray_suburban_autumn.png
Chair,Eames Lounge Chair,Bauhaus,Rattan,Warm Taupe,Soft,urban,summer,38_chair_rattan_warm_taupe_urban_summer.png
Storage,Dresser,Mid-Century Modern,Rattan,Mustard Yellow,Textured,suburban,winter,39_storage_rattan_mustard_yellow_suburban_winter.png
Storage,Cabinet,Coastal,Walnut Wood,Beige,Textured,suburban,summer,40_storage_walnut_wood_beige_suburban_summer.png
Storage,Dresser,Scandinavian,Walnut Wood,Walnut Brown,Matte finish,urban,autumn,41_storage_walnut_wood_walnut_brown_urban_autumn.png
Chair,Womb Chair,Art Deco,Brown Leather,Natural Wood,Modular,suburban,autumn,42_chair_brown_leather_natural_wood_suburban_autumn.png
Lamp,PH Artichoke Lamp,Rustic,Matte Black Steel,Olive Green,High-gloss,suburban,summer,43_lamp_matte_black_steel_olive_green_suburban_summer.png
Lamp,Desk Lamp,Wabi-Sabi,Matte Black Steel,Mustard Yellow,Matte finish,urban,winter,44_lamp_matte_black_steel_mustard_yellow_urban_winter.png
Table,Saarinen Tulip Table,Rustic,Bent Plywood,Walnut Brown,High-gloss,rural,spring,45_table_bent_plywood_walnut_brown_rural_spring.png
Chair,Wassily Chair,Japandi,Bouclé Fabric,Deep Teal,Curvy,urban,spring,46_chair_boucl_fabric_deep_teal_urban_spring.png
Storage,Cabinet,Japandi,Cane,Natural Wood,Matte finish,rural,summer,47_storage_cane_natural_wood_rural_summer.png
Chair,Wishbone Chair (Y-Chair),Scandinavian,Matte Black Steel,Mustard Yellow,Organic shape,urban,summer,48_chair_matte_black_steel_mustard_yellow_urban_summer.png
Chair,Panton Chair,Minimalist,Brushed Brass,Emerald Green,Plush,urban,winter,49_chair_brushed_brass_emerald_green_urban_winter.png
Sofa,Sectional Sofa,Bauhaus,Suede,Beige,Textured,urban,autumn,50_sofa_suede_beige_urban_autumn.png
Lamp,Floor Lamp,Retro,Matte Black Steel,Light Gray,Distressed,urban,autumn,51_lamp_matte_black_steel_light_gray_urban_autumn.png
Lamp,PH Artichoke Lamp,Retro,Linen shade,Walnut Brown,Vintage look,rural,autumn,52_lamp_linen_shade_walnut_brown_rural_autumn.png
Sofa,LC2 Sofa,Traditional,Walnut Wood base,Burnt Orange,Organic shape,suburban,spring,53_sofa_walnut_wood_base_burnt_orange_suburban_spring.png
Storage,Cabinet,Industrial,Matte Black Steel,Charcoal Gray,Vintage look,rural,spring,54_storage_matte_black_steel_charcoal_gray_rural_spring.png
Chair,Eames Lounge Chair,Bohemian (Bojo),Linen,Black,Playful,rural,autumn,55_chair_linen_black_rural_autumn.png
Chair,Eames Lounge Chair,Bohemian (Bojo),Bouclé Fabric,Charcoal Gray,Plush,suburban,winter,56_chair_boucl_fabric_charcoal_gray_suburban_winter.png
Sofa,Noguchi Freeform Sofa,Industrial,Black Leather,Black,Modular,rural,summer,57_sofa_black_leather_black_rural_summer.png
Sofa,Loveseat,Retro,Bouclé Fabric,Burnt Orange,High-gloss,urban,winter,58_sofa_boucl_fabric_burnt_orange_urban_winter.png
Lamp,PH Artichoke Lamp,Bauhaus,Matte Black Steel,Navy Blue,Textured,rural,summer,59_lamp_matte_black_steel_navy_blue_rural_summer.png
Chair,Egg Chair,Minimalist,Light Oak,Beige,Geometric,rural,spring,60_chair_light_oak_beige_rural_spring.png
Chair,Wishbone Chair (Y-Chair),Coastal,Black Leather,Burnt Orange,Soft,urban,spring,61_chair_black_leather_burnt_orange_urban_spring.png
Table,Parsons Table,Bauhaus,Bent Plywood,Olive Green,Vintage look,suburban,winter,62_table_bent_plywood_olive_green_suburban_winter.png
Sofa,LC2 Sofa,Bauhaus,Tweed,Mustard Yellow,Organic shape,urban,autumn,63_sofa_tweed_mustard_yellow_urban_autumn.png
Storage,Bookshelf,Coastal,Light Oak,Terracotta,Textured,urban,winter,64_storage_light_oak_terracotta_urban_winter.png
Storage,Cabinet,Bauhaus,Teak,Walnut Brown,Modular,suburban,summer,65_storage_teak_walnut_brown_suburban_summer.png
Storage,Sideboard,Wabi-Sabi,Matte Black Steel,Navy Blue,Textured,suburban,summer,66_storage_matte_black_steel_navy_blue_suburban_summer.png
Table,Coffee Table,Retro,Carrara Marble,Off-white,Playful,urban,winter,67_table_carrara_marble_off_white_urban_winter.png
Chair,Eames Lounge Chair,Minimalist,Rattan,Olive Green,Playful,suburban,winter,68_chair_rattan_olive_green_suburban_winter.png
Lamp,Arco Floor Lamp,Farmhouse,Matte Black Steel,Light Gray,Geometric,suburban,autumn,69_lamp_matte_black_steel_light_gray_suburban_autumn.png
Sofa,Chesterfield Sofa,Traditional,Brown Leather,Olive Green,Organic shape,suburban,summer,70_sofa_brown_leather_olive_green_suburban_summer.png
